,Latitude,Longitude,Country Name,Sum
108,7.5554942,80.7137847,Sri Lanka,1658862654188.1
109,13.8250489,-60.975036,St. Lucia,4179597895.6000004
110,12.90447,-61.2765569,St. Vincent and the Grenadines,10267740197.699999
112,14.5844444,29.4917691,Sudan,259827402243.60004
113,34.6401861,39.0494106,Syrian Arab Republic,6802812201.300001
114,38.6281733,70.8156541,Tajikistan,25491263070.600002
115,-6.5247123,35.7878438,Tanzania,449099358044.4001
116,14.8971921,100.83273,Thailand,4751490562074.103
117,-8.5151979,125.8375756,Timor-Leste,1935940018.3999999
118,8.7800265,1.0199765,Togo,71839081185.0
119,-19.9160819,-175.202642,Tonga,891279295.5000001
120,33.8439408,9.400138,Tunisia,1743446346929.4993
121,38.9597594,34.9249653,Turkey,15573355756828.797
122,1.5333554,32.2166578,Uganda,306459172281.9
123,49.4871968,31.2718321,Ukraine,503853286052.4999
125,41.32373,63.9528098,Uzbekistan,157370681866.50003
126,-16.5255069,168.1069154,Vanuatu,1982463912.1000001
127,-24.89219,-60.31752,"Venezuela, RB",5185640198552.299
128,13.2904027,108.4265113,Vietnam,461329774992.50006
130,-14.5189121,27.5589884,Zambia,527965859166.90015
131,-18.4554963,29.7468414,Zimbabwe,223820221656.89996
